Primary Type	Description	Meta Category
ARSON	AGGRAVATED	Non-Violent Property Crime
ARSON	ATTEMPT ARSON	Non-Violent Property Crime
ARSON	BY EXPLOSIVE	Non-Violent Property Crime
ARSON	BY FIRE	Non-Violent Property Crime
ARSON	POS: EXPLOSIVE/INCENDIARY DEV	Non-Violent Property Crime
ASSAULT	AGG PO HANDS NO/MIN INJURY	Violent Crimes
ASSAULT	AGG PRO.EMP: HANDGUN	Violent Crimes
ASSAULT	AGG PRO.EMP: OTHER DANG WEAPON	Violent Crimes
ASSAULT	AGG PRO.EMP: OTHER FIREARM	Violent Crimes
ASSAULT	AGG PRO.EMP:KNIFE/CUTTING INST	Violent Crimes
ASSAULT	AGGRAVATED PO: HANDGUN	Violent Crimes
ASSAULT	AGGRAVATED PO: OTHER DANG WEAP	Violent Crimes
ASSAULT	AGGRAVATED PO: OTHER FIREARM	Violent Crimes
ASSAULT	AGGRAVATED PO:KNIFE/CUT INSTR	Violent Crimes
ASSAULT	AGGRAVATED: HANDGUN	Violent Crimes
ASSAULT	AGGRAVATED: OTHER DANG WEAPON	Violent Crimes
ASSAULT	AGGRAVATED: OTHER FIREARM	Violent Crimes
ASSAULT	AGGRAVATED:KNIFE/CUTTING INSTR	Violent Crimes
ASSAULT	PRO EMP HANDS NO/MIN INJURY	Violent Crimes
ASSAULT	SIMPLE	Violent Crimes
BATTERY	AGG PO HANDS ETC SERIOUS INJ	Violent Crimes
BATTERY	AGG PO HANDS NO/MIN INJURY	Violent Crimes
BATTERY	AGG PRO EMP HANDS SERIOUS INJ	Violent Crimes
BATTERY	AGG PRO.EMP: HANDGUN	Violent Crimes
BATTERY	AGG PRO.EMP: OTHER DANG WEAPON	Violent Crimes
BATTERY	AGG PRO.EMP: OTHER FIREARM	Violent Crimes
BATTERY	AGG PRO.EMP:KNIFE/CUTTING INST	Violent Crimes
BATTERY	AGG: HANDS/FIST/FEET NO/MINOR INJURY	Violent Crimes
BATTERY	AGG: HANDS/FIST/FEET SERIOUS INJURY	Violent Crimes
BATTERY	AGGRAVATED DOMESTIC BATTERY: HANDGUN	Violent Crimes
BATTERY	AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY	Violent Crimes
BATTERY	AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST	Violent Crimes
BATTERY	AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON	Violent Crimes
BATTERY	AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM	Violent Crimes
BATTERY	AGGRAVATED OF A CHILD	Violent Crimes
BATTERY	AGGRAVATED OF A SENIOR CITIZEN	Violent Crimes
BATTERY	AGGRAVATED OF A UNBORN CHILD	Violent Crimes
BATTERY	AGGRAVATED PO: KNIFE/CUT INSTR	Violent Crimes
BATTERY	AGGRAVATED PO: OTHER DANG WEAP	Violent Crimes
BATTERY	AGGRAVATED: HANDGUN	Violent Crimes
BATTERY	AGGRAVATED: OTHER DANG WEAPON	Violent Crimes
BATTERY	AGGRAVATED: OTHER FIREARM	Violent Crimes
BATTERY	AGGRAVATED:KNIFE/CUTTING INSTR	Violent Crimes
BATTERY	DOMESTIC BATTERY SIMPLE	Violent Crimes
BATTERY	OF UNBORN CHILD	Violent Crimes
BATTERY	PRO EMP HANDS NO/MIN INJURY	Violent Crimes
BATTERY	SIMPLE	Violent Crimes
BURGLARY	ATTEMPT FORCIBLE ENTRY	Non-Violent Property Crime
BURGLARY	FORCIBLE ENTRY	Non-Violent Property Crime
BURGLARY	HOME INVASION	Violent Crimes
BURGLARY	UNLAWFUL ENTRY	Non-Violent Property Crime
CONCEALED CARRY LICENSE VIOLATION	ARMED WHILE UNDER THE INFLUENCE	Other
CONCEALED CARRY LICENSE VIOLATION	OTHER	Other
CONCEALED CARRY LICENSE VIOLATION	PROHIBITED PLACES	Other
CRIM SEXUAL ASSAULT	AGGRAVATED: HANDGUN	Violent Crimes
CRIM SEXUAL ASSAULT	AGGRAVATED: KNIFE/CUT INSTR	Violent Crimes
CRIM SEXUAL ASSAULT	AGGRAVATED: OTHER	Violent Crimes
CRIM SEXUAL ASSAULT	AGGRAVATED: OTHER DANG WEAPON	Violent Crimes
CRIM SEXUAL ASSAULT	AGGRAVATED: OTHER FIREARM	Violent Crimes
CRIM SEXUAL ASSAULT	ATTEMPT AGG: HANDGUN	Violent Crimes
CRIM SEXUAL ASSAULT	ATTEMPT AGG: KNIFE/CUT INSTR	Violent Crimes
CRIM SEXUAL ASSAULT	ATTEMPT AGG: OTHER	Violent Crimes
CRIM SEXUAL ASSAULT	ATTEMPT AGG: OTHER DANG WEAPON	Violent Crimes
CRIM SEXUAL ASSAULT	ATTEMPT NON-AGGRAVATED	Violent Crimes
CRIM SEXUAL ASSAULT	NON-AGGRAVATED	Violent Crimes
CRIM SEXUAL ASSAULT	PREDATORY	Violent Crimes
CRIMINAL DAMAGE	CRIMINAL DEFACEMENT	Other
CRIMINAL DAMAGE	INSTITUTIONAL VANDALISM	Other
CRIMINAL DAMAGE	LIBRARY VANDALISM	Other
CRIMINAL DAMAGE	TO CITY OF CHICAGO PROPERTY	Other
CRIMINAL DAMAGE	TO FIRE FIGHT.APP.EQUIP	Other
CRIMINAL DAMAGE	TO PROPERTY	Other
CRIMINAL DAMAGE	TO STATE SUP PROP	Other
CRIMINAL DAMAGE	TO VEHICLE	Other
CRIMINAL TRESPASS	TO AIRPORT	Other
CRIMINAL TRESPASS	TO LAND	Other
CRIMINAL TRESPASS	TO RESIDENCE	Other
CRIMINAL TRESPASS	TO STATE SUP LAND	Other
CRIMINAL TRESPASS	TO VEHICLE	Other
DECEPTIVE PRACTICE	AGGRAVATED COMPUTER TAMPERING	Financial Crime/Fraud
DECEPTIVE PRACTICE	AGGRAVATED FINANCIAL IDENTITY THEFT	Financial Crime/Fraud
DECEPTIVE PRACTICE	ATTEMPT - FINANCIAL IDENTITY THEFT	Financial Crime/Fraud
DECEPTIVE PRACTICE	BOGUS CHECK	Financial Crime/Fraud
DECEPTIVE PRACTICE	COMPUTER FRAUD	Financial Crime/Fraud
DECEPTIVE PRACTICE	COUNTERFEIT CHECK	Financial Crime/Fraud
DECEPTIVE PRACTICE	COUNTERFEITING DOCUMENT	Financial Crime/Fraud
DECEPTIVE PRACTICE	CREDIT CARD FRAUD	Financial Crime/Fraud
DECEPTIVE PRACTICE	DECEPTIVE COLLECTION PRACTICES	Financial Crime/Fraud
DECEPTIVE PRACTICE	EMBEZZLEMENT	Financial Crime/Fraud
DECEPTIVE PRACTICE	FINAN EXPLOIT-ELDERLY/DISABLED	Financial Crime/Fraud
DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT $300 AND UNDER	Financial Crime/Fraud
DECEPTIVE PRACTICE	FINANCIAL IDENTITY THEFT OVER $ 300	Financial Crime/Fraud
DECEPTIVE PRACTICE	FORGERY	Financial Crime/Fraud
DECEPTIVE PRACTICE	FRAUD OR CONFIDENCE GAME	Financial Crime/Fraud
DECEPTIVE PRACTICE	ILLEGAL POSSESSION CASH CARD	Financial Crime/Fraud
DECEPTIVE PRACTICE	ILLEGAL USE CASH CARD	Financial Crime/Fraud
DECEPTIVE PRACTICE	IMPERSONATION	Financial Crime/Fraud
DECEPTIVE PRACTICE	INSURANCE FRAUD	Financial Crime/Fraud
DECEPTIVE PRACTICE	LIBRARY THEFT	Other
DECEPTIVE PRACTICE	PAY TV SERVICE OFFENSES	Other
DECEPTIVE PRACTICE	STOLEN PROP: BUY/RECEIVE/POS.	Non-Violent Property Crime
DECEPTIVE PRACTICE	"THEFT BY LESSEE,MOTOR VEH"	Non-Violent Property Crime
DECEPTIVE PRACTICE	"THEFT BY LESSEE,NON-VEH"	Non-Violent Property Crime
DECEPTIVE PRACTICE	THEFT OF LABOR/SERVICES	Other
DECEPTIVE PRACTICE	THEFT OF LOST/MISLAID PROP	Non-Violent Property Crime
DECEPTIVE PRACTICE	UNAUTHORIZED VIDEOTAPING	Other
DECEPTIVE PRACTICE	UNIDENTIFIABLE RECORDING SOUND	Other
DECEPTIVE PRACTICE	UNLAWFUL USE OF A COMPUTER	Other
DECEPTIVE PRACTICE	UNLAWFUL USE OF RECORDED SOUND	Other
GAMBLING	GAME/AMUSEMENT DEVICE	Other
GAMBLING	GAME/CARDS	Other
GAMBLING	GAME/DICE	Other
GAMBLING	OTHER	Other
HOMICIDE	FIRST DEGREE MURDER	Violent Crimes
HOMICIDE	RECKLESS HOMICIDE	Violent Crimes
HOMICIDE	SECOND DEGREE MURDER	Violent Crimes
HUMAN TRAFFICKING	COMMERCIAL SEX ACTS	Violent Crimes
HUMAN TRAFFICKING	INVOLUNTARY SERVITUDE	Violent Crimes
INTERFERENCE WITH PUBLIC OFFICER	AIDING ARRESTEE ESCAPE	Other
INTERFERENCE WITH PUBLIC OFFICER	ESCAPE	Other
INTERFERENCE WITH PUBLIC OFFICER	INTERFERENCE JUDICIAL PROCESS	Other
INTERFERENCE WITH PUBLIC OFFICER	OBSTRUCTING IDENTIFICATION	Other
INTERFERENCE WITH PUBLIC OFFICER	OBSTRUCTING JUSTICE	Other
INTERFERENCE WITH PUBLIC OFFICER	OBSTRUCTING SERVICE	Other
INTERFERENCE WITH PUBLIC OFFICER	RESIST/OBSTRUCT/DISARM OFFICER	Other
INTIMIDATION	COMPELLING ORG MEMBERSHIP	Other
INTIMIDATION	EDUCATIONAL INTIMIDAITON	Other
INTIMIDATION	EXTORTION	Financial Crime/Fraud
